ID;periodo;ano;duracao.dias;carga.horaria;modalidade;categoria;local.curso;municipio;UF;latitude;longitude;organizadores;nome.curso;foco.curso; participantes;alunos;instrutores;colaboradores;instrutores.origem;programa.curso;lista.participantes;relatorio.descritivo;fotos;origem.informacoes;observacoes
025;10-18/08;1999;9;85;Presencial;Ministrado;Base de Estudos do Pantanal - Passo do Lontra ;Corumbá;MS;-19,576833;-57,019150;CEMAVE-Ibama, Universidade Federal de Mato Grosso do Sul - UFMS;Técnicas de Pesquisa e Conservação de Aves Silvestres;Anilhamento;17;11;3;3;Inês de Lima Serrano Nascimento - CEMAVE-Ibama, Augusto João Piratelli - UFMS, Masao Uetanabaro - UFMS;Sim;Sim;Sim;Não;Relatório de Atividades CEMAVE;Cópias de certificados não assinados
026;10-14/09;2019;5;50;Presencial;Ministrado;Floresta Nacional Araripe-Apodi;Crato;CE;-7,340399;-39,432027;CEMAVE, APA e FLONA Araripe-Apodi e Aquasis;Curso Básico de Anilhamento de Aves Silvestres;Anilhamento;28;20;8;;"Antonio Emanuel Barreto Alves de Sousa - CEMAVE; Elivan Arantes de Souza - CEMAVE; Weber Andrade de Girão e Silva - AQUASIS; Rafael Gustavo Becker - AQUASIS; José Onofre N. Monteiro  - AQUASIS; Cristiano Marcelo da Silva Nascimento - IFPB; Paulo Fernando Meier Souza - APA Araripe; Cecília Licarião - Aves de Noronha";Sim;Sim;Sim;Sim;Relatório de Atividades CEMAVE;Segundo curso realizado na FLONA do Araripe, o primeiro ocorreu em 1995.
027;10-14/06;2013;5;50;Presencial;Ministrado;Parque Nacional do Pantanal Matogrossense;Poconé;MT;-17,661746;-57,430547;CEMAVE-ICMBio, CGGP-ICMBio, UFMT;Curso Nacional de Anilhamento de Aves Silvestres;Anilhamento;21;18;3;;Aílton Carneiro de Oliveira – CEMAVE, Antonio Emanuel Barreto Alves de Sousa - CEMAVE, Dalci Maurício Miranda de oliveira – UFMT;Não;Não;Não;Não;Edital de divulgação de cursos;
028;25-30/05;2014;6;32;Presencial;Ministrado;Hotel Costa do Atlântico;Areia Branca;RN;-4,950859;-37,125724;CEMAVE-ICMBio, CGPEG-Ibama;I Curso de Anilhamento de Aves Marinhas para Equipes de Projetos de Monitoramento de Praias (PMPs);Anilhamento;47;42;5;;Patrícia Serafini - CEMAVE, Aílton Carneiro de Oliveira - CEMAVE, Diego Mendes Lima - CEMAVE, Antonio Emanuel Barreto Alves de Sousa - CEMAVE, Manuella Souza - CEMAVE;Sim;Sim ;Não;Não;Programa do curso;Curso ministrado em atendimento ao que consta no Relatório de Vistoria Nº 011/2013/CGPEG/DILIC/IBAMA (licenciamento ambiental)
029;17-21/08;2015;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-ICMBio;Técnicas de Pesquisas com Aves Silvestres;Anilhamento;;;;;Aílton Carneiro de Oliveira - CEMAVE, Diego Mendes Lima - CEMAVE, Antonio Emanuel Barreto Alves de Sousa - CEMAVE, João Victor de Oliveira Caetano – Faculdade Anhanguera de Brasília;Sim;Não ;Não;Não;Programa do curso;
030;17-21/10;2016;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-ICMBio;Curso de Anilhamento de Aves Silvestres;Anilhamento;21;15;6;;Aílton Carneiro de  Oliveira – CEMAVE, João Victor de Oliveira Caetano – Faculdade Anhanguera de Brasília, Luane R. Santos – Universidade de Brasília, Raquel Lacerda- IBAMA, Renata Membribes Rossato - CEMAVE, Rita de Cássia Surrage de Medeiros– CEMAVE;Sim;Sim;Não;Não;Edital de divulgação de curso;
031;29/05-02/06;2017;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-ICMBio;Curso de Anilhamento de Aves Silvestres;Anilhamento;20;15;5;;Aílton Carneiro de Oliveira - CEMAVE, Maria Isabel, João Bosco Sampaio - IBRAM, Raquel Caroline Alves Lacerda - Ibama, Renata Rossato - CEMAVE;Sim;Sim;Não;Não;Edital de divulgação de curso;
032;16-20/10;2017;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-ICMBio;Curso de Anilhamento de Aves Silvestres;Anilhamento;17;12;5;;Aílton Carneiro de Oliveira - CEMAVE, Maria Isabel, João Bosco Sampaio - IBRAM, Raquel Caroline Alves Lacerda - Ibama, Renata Rossato - CEMAVE;Não;Sim;Não;Não;Edital de divulgação de curso;A lista tem 17 pessoas... o edital fala em 15 vagas.
033;23-27/04;2018;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-ICMBio;Curso de Anilhamento de Aves Silvestres;Anilhamento;19;12;7;;Aílton Carneiro de Oliveira - CEMAVE, Rita de Cassia Surrage de Medeiros - CEMAVE, Raquel Caroline Alves Lacerda - Ibama, João Victor de Oliveira Caetano – Faculdade Anhanguera de Brasília;Sim;Sim;Não ;Não;Edittal de dibulgação do 1º curso de 2018 - Base CEMAVE Brasília;
034;29/07-02/08;2019;5;40;Presencial;Ministrado;Parque Nacional de Brasília;Brasília;DF;-15,737009;-47,925824;CEMAVE-ICMBio;Curso de Anilhamento de Aves Silvestres;Anilhamento;17;12;5;;Aílton Carneiro de Oliveira - CEMAVE, Renata Rossato - CEMAVE, Raquel Caroline Alves Lacerda - Ibama, Lia Nahomi Kajiki - UnB, João Victor de Oliveira Caetano – Faculdade Anhanguera de Brasília;Sim;Sim;Não ;Não;Edittal de dibulgação do 1º curso de 2019 - Base CEMAVE Brasília;
